parameter_id,label,category,calibration_status,calibrated_baseline,original_baseline,plausible_low,plausible_high,unit,type,calibration_source,calibration_note,description,original_source_notes
FIRM_INITIAL_DIGITAL_TECH_SHARE_MEAN,Firm Initial Digital Tech Share (Mean),Firm Behavior - Initialization,empirical,0.1,0.1,0.02,0.3,share (0-1),percentage_0_1,Eurostat DESI: ~10-12% of EU enterprises use advanced digital tech (AI/big data); broader basic digitalisation higher,Initial advanced-digital-tech share ~0.10 matches Eurostat DESI enterprise advanced-technology adoption. Retained.,Mean share of digital technology firms start with (0 to 1).,"Stylized initial digital tech adoption. Could be based on digital maturity indices or specific tech adoption rates (e.g., cloud computing, AI)."
FIRM_INITIAL_DIGITAL_TECH_SHARE_STD_DEV,Firm Initial Digital Tech Share (Std Dev),Firm Behavior - Initialization,structural,0.05,0.05,0.01,0.1,share (0-1),percentage_0_1,Heterogeneity parameter,Dispersion of initial digital share.,"Standard deviation for initial digital tech share. Actual share will be mean +/- random * std_dev, clamped to [0,1].",Determines heterogeneity in initial digital tech adoption.
FIRM_TFP_SCALAR,Firm TFP Scalar,Firm Behavior - Production,structural,1.6,1.6,0.5,50,scalar,float,Calibration scalar,"Global output scalar tuned to balance GDP/price level in abstract units. Internal calibration constant, not an external statistic.",General Total Factor Productivity scalar for firms. Multiplies output from capital and technology factors. This is separate from labor productivity.,"Critical for scaling overall economic output. Calibrate carefully against target GDP/output, price levels, and initial labor demand."
CAPITAL_OUTPUT_ELASTICITY,Capital Output Elasticity,Firm Behavior - Production,empirical,0.39,0.33,0.25,0.45,dimensionless,float,Eurostat national accounts 2025: euro-area profit/capital share of GVA ~39%; labour share ~61%,Cobb-Douglas capital exponent set to the euro-area capital share of value added (~0.39). Prior 0.33 reflected a US-style one-third convention; the EA capital share is closer to 0.39.,Exponent for capital in the firm's production function (alpha in Cobb-Douglas).,Standard economic literature for capital share in Cobb-Douglas production functions. Typically 0.3-0.4 for developed economies.
GREEN_TECH_EFFICIENCY_BOOST,Green Tech Efficiency Boost (TFP),Firm Behavior - Production,literature,0.02,0.02,0.01,0.15,factor per unit share,float,Eco-innovation productivity literature,TFP gain per unit green-tech share. Kept at 0.02; consistent with modest measured eco-innovation productivity effects (range 0.01-0.15 retained).,Factor by which green technology share increases firm's Total Factor Productivity component in production.,"Stylized assumption on productivity gains from green tech. Literature on eco-innovation or specific tech (e.g., renewables reducing energy costs) could inform this."
DIGITAL_TECH_EFFICIENCY_BOOST,Digital Tech Efficiency Boost (TFP),Firm Behavior - Production,literature,0.03,0.03,0.02,0.2,factor per unit share,float,Digitalisation-productivity literature (e.g. OECD),TFP gain per unit digital share; literature-informed range retained (0.02 baseline).,Factor by which digital technology share increases firm's Total Factor Productivity component in production.,Stylized assumption on TFP gains from digital tech. Macro or firm-level studies on digitalization's impact on productivity can guide this.
GREEN_TECH_LABOR_EFFECT_MULTIPLIER,Green Tech Labor Effect Multiplier,Firm Behavior - Production,literature,1.2,1.2,0.8,2,factor,float,Skill-biased technical change literature,Differentiates TFP vs labour-saving bias; literature-informed range retained.,Multiplier on GREEN_TECH_EFFICIENCY_BOOST when calculating its specific effect on labor productivity (for labor demand calculation). >1 means green tech is more labor-saving than its TFP effect.,"Stylized calibration parameter to differentiate TFP and labor-saving/augmenting effects. <1 means labor-augmenting biased, >1 labor-saving biased. Needs careful consideration against empirical studies on skill-biased technical change for green tech."
DIGITAL_TECH_LABOR_EFFECT_MULTIPLIER,Digital Tech Labor Effect Multiplier,Firm Behavior - Production,literature,1.2,1.2,0.8,2.5,factor,float,Automation / SBTC literature,Digital tech labour-saving bias; literature-informed range retained.,Multiplier on DIGITAL_TECH_EFFICIENCY_BOOST when calculating its specific effect on labor productivity (for labor demand calculation). >1 means digital tech is more labor-saving than its TFP effect.,Stylized. Digital tech often has strong labor-saving potential (automation). Empirical work on skill-biased technical change for digital technologies can inform this.
FIRM_INITIAL_EMISSIONS_INTENSITY_FACTOR,Firm Initial Emissions Intensity Factor,Firm Behavior - Environment,empirical,0.5,0.5,0.2,1.5,emissions units per output unit,float,Eurostat air emissions accounts; EU GHG intensity of GVA declining,Abstract emissions-per-output factor; left in model units but range is consistent with declining EU GHG intensity of GVA. Relative dynamics are the analytical product.,"Initial emissions per unit of output for firms, before learning-by-doing effects related to green tech adoption.","Stylized. Highly sector-dependent in reality. Calibrate based on aggregate emissions/GDP for the target economy/sector. Data from Eurostat, OECD, or national environmental agencies."
EMISSIONS_LEARNING_RATE_LAMBDA_G,Emissions Learning Rate (Lambda_g),Firm Behavior - Environment,empirical,0.15,0.2,0.01,0.25,factor per unit share,float,IEA technology learning curves: learning rates ~0.05-0.20 for clean-energy techs,"Set to 0.15, within the IEA-documented learning-rate band for clean-energy technologies. Prior 0.20 sat at the optimistic top of the empirical range.",Rate at which firm's emissions factor decreases with its green technology share. EF_next = EF_current * (1 - lambda_g * greenTechShare).,IEA learning curve data for specific technologies range (0.05–0.20 for some). Represents 'learning-by-doing' in reducing emissions intensity. Higher values mean faster reduction per unit of green tech share.
MIN_EMISSIONS_INTENSITY_FACTOR,Minimum Emissions Intensity Factor,Firm Behavior - Environment,structural,0.01,0.01,0.005,0.05,emissions units per output unit,float,Technological floor assumption,Irreducible-emissions floor; stylized.,"Floor for the firm's emissions intensity factor, preventing it from reaching zero.","Stylized practical limit to emissions reduction, e.g., due to irreducible process emissions or technological limits. IPCC reports or sectoral studies might provide guidance."
BASE_OPERATING_COST_FACTOR_PER_CAPITAL,Base Operating Cost Factor per Capital,Firm Behavior - Finance,structural,0.05,0.05,0.01,0.08,factor,float,Abstract model units,Overhead-to-capital ratio; tuned in model units.,"Fixed operating costs proportional to a firm's capital stock (e.g., maintenance, rent, non-labor overhead).",Stylized. Represents fixed costs not directly tied to production volume but to scale of operation (capital). Can be informed by firm-level accounting data or industry averages for non-production overheads.
INTEREST_RATE_ON_CAPITAL,Interest Rate on Capital,Firm Behavior - Finance,empirical,0.045,0.05,0.01,0.08,rate (0-1),percentage_0_1,ECB: euro-area NFC bank lending rates / corporate bond yields ~4-5% (2024-25),"Set to 4.5%, matching euro-area cost of corporate borrowing in 2024-25. Prior 0.05 is within range; refined to current ECB lending-rate level.",Rental cost or interest paid on capital stock by firms. Proxy for cost of capital.,"Stylized. Reflects real interest rates or required return on capital. Monetary policy data (e.g., ECB rates) or market risk premia could influence this. Average corporate bond yields or bank lending rates for non-financial corporations."
CAPITAL_DEPRECIATION_RATE,Capital Depreciation Rate,Firm Behavior - Investment,empirical,0.06,0.12,0.04,0.15,rate (0-1),percentage_0_1,Eurostat/OECD national accounts: economy-wide CFC/capital stock ~5-8%,"Set to 6%, the aggregate-economy depreciation range from national accounts. Prior 0.12 reflected machinery/equipment-only rates, too high for an economy-wide stock.",Annual rate at which firm capital depreciates.,"Standard economic values. Differs by capital type (e.g., buildings vs. software). Aggregate rates often 5-10% for national accounts. Sectoral data may show higher rates for machinery/equipment."
PROFIT_REINVESTMENT_RATE,Profit Reinvestment Rate,Firm Behavior - Investment,empirical,0.22,0.1,0.05,0.7,rate (0-1),percentage_0_1,Eurostat: euro-area NFC investment rate ~21-22% of gross value added (2025),"Set to 0.22, the euro-area non-financial-corporation investment rate. Prior 0.10 understated corporate reinvestment.",Share of (positive) profits reinvested into capital.,"Stylized. Reflects firm's propensity to invest vs. distribute profits (payout ratio). Can be influenced by growth opportunities, financial constraints. National accounts data on corporate saving/investment rates."
R_AND_D_INVESTMENT_RATE,R&D Investment Rate,Firm Behavior - Innovation,empirical,0.04,0.03,0.02,0.2,rate (0-1),percentage_0_1,Eurostat 2024: EU business-enterprise R&D = 1.49% of GDP (~3-4% of gross operating surplus),"Set to 0.04 (share of profits). EU business R&D is 1.49% of GDP; with capital share ~39% this is ~3.8% of gross operating surplus, so 0.04 is well-anchored. Prior 0.03 was at the low end.","Share of (positive) profits invested in R&D, *before* considering government matching grants.","Stylized. Varies greatly by sector. High-tech sectors may have rates >10-15%; traditional sectors lower. National R&D intensity data (e.g., R&D expenditure as % of GDP or business R&D as % of revenue from Eurostat/OECD)."
INNOVATION_CAPACITY_DECAY_RATE,Innovation Capacity Decay Rate,Firm Behavior - Innovation,literature,0.05,0.05,0.02,0.1,rate (0-1),percentage_0_1,Knowledge-depreciation literature,Knowledge obsolescence ~5-20%/yr in the R&D-capital literature (e.g. depreciation of R&D stock). Baseline 0.05 retained as conservative lower-bound.,Annual rate at which innovation capacity diminishes if not replenished (e.g. knowledge obsolescence).,Stylized. Represents the depreciation of knowledge stock or R&D capital. Literature on knowledge depreciation or patent obsolescence rates.
R_AND_D_EFFECTIVENESS_GAMMA,R&D Effectiveness (Gamma),Firm Behavior - Innovation,literature,0.2,0.2,0.1,0.8,factor,float,Returns-to-R&D / innovation production function literature,Conversion of net R&D to innovation capacity. Hard to identify empirically; literature range retained.,Factor determining how effectively NET R&D investment (firm's + matched grant - tax credit) translates to innovation capacity.,Stylized. Represents productivity of R&D spending. Difficult to estimate empirically. Related to studies on returns to R&D or innovation production functions.
DEFAULT_R_AND_D_TAX_CREDIT_CHI,Default R&D Tax Credit (Chi),Policy Levers - Defaults,empirical,0.1,0.1,0,0.3,rate (0-1),percentage_0_1,"OECD R&D tax incentive database: implied subsidy rates 0-30%, EU median ~10%",10% is consistent with the EU-median implied R&D tax-credit/subsidy rate (OECD). Retained.,Default R&D tax credit rate if not set by policy. This is the rate firms use in R&D calculations if not overridden by a specific policy signal. Applied to gross R&D expenditure.,"Real-world R&D tax credits vary by country (e.g., 0-30%). OECD data on R&D tax incentives. This is used by firms if `rdTaxCreditRate` is not specified in `policySignals`."
ADOPTION_COST_PER_CAPITAL_GREEN,Adoption Cost per Capital (Green Tech),Firm Behavior - Tech Adoption,structural,0.05,0.05,0.01,0.15,factor,float,Abstract model units,Adoption cost as share of capital; model-unit calibration knob.,"Cost factor for adopting green technology, relative to firm capital. Cost = Factor * Capital.","Stylized. Investment cost for a 'unit' of green tech share increase, scaled by firm size. Literature on specific tech costs (e.g., LCOE for renewables, retrofit costs) could inform this, expressed as a share of capital."
ADOPTION_COST_PER_CAPITAL_DIGITAL,Adoption Cost per Capital (Digital Tech),Firm Behavior - Tech Adoption,structural,0.04,0.04,0.01,0.12,factor,float,Abstract model units,Adoption cost as share of capital; model-unit knob.,"Cost factor for adopting digital technology, relative to firm capital. Cost = Factor * Capital.","Stylized. Investment cost for a 'unit' of digital tech share increase, scaled by firm size. Could be informed by studies on IT investment as a share of total investment or capital."
TECH_ADOPTION_INCREMENT_STEP,Technology Adoption Increment Step,Firm Behavior - Tech Adoption,structural,0.1,0.1,0.05,0.25,share (0-1),percentage_0_1,Adoption lumpiness assumption,Step size of adoption; stylized.,Amount by which tech share (green/digital) increases upon successful adoption decision.,Stylized. Represents the 'chunkiness' of adoption. Larger steps mean faster full adoption if probability is met. Could be informed by observed adoption patterns of lumpy investments.
ADOPTION_BETA_INTRINSIC,Adoption Beta (Intrinsic),Firm Behavior - Tech Adoption,structural,-2,-2,-2.5,-0.5,logit unit,float,Logit calibration constant,Discrete-choice intercept tuned for plausible baseline adoption.,Base term in the utility function for technology adoption. A more negative value means higher intrinsic resistance to adoption.,Stylized logit parameter. Influences baseline adoption propensity before other factors are considered. Calibrated to achieve plausible baseline adoption rates given other parameters.
ADOPTION_BETA_INNOVATION_CAP,Adoption Beta (Innovation Capacity),Firm Behavior - Tech Adoption,structural,0.05,0.05,0.01,0.2,logit unit per IC unit,float,Logit calibration constant,Absorptive-capacity sensitivity; logit knob.,Sensitivity of adoption utility to firm's innovation capacity.,Stylized. Higher values mean innovation capacity strongly promotes adoption. Reflects absorptive capacity concept.
ADOPTION_BETA_COST,Adoption Beta (Cost),Firm Behavior - Tech Adoption,literature,0.5,0.5,0.2,1.5,logit unit per cost unit,float,Investment cost-sensitivity literature,"Cost deterrent in adoption; logit knob, literature-informed.",Sensitivity of adoption utility to the effective cost of technology. Higher value means cost is a stronger deterrent.,Stylized. Represents cost sensitivity in adoption decisions. Could be informed by econometric studies on investment sensitivity to cost of capital or specific tech prices.
ADOPTION_BETA_SUBSIDY,Adoption Beta (Subsidy),Firm Behavior - Tech Adoption,literature,2,2,1,4,logit unit per subsidy rate unit,float,Subsidy-evaluation literature,Subsidy responsiveness; logit knob.,Sensitivity of adoption utility to technology subsidy rates. Higher value means subsidies are more effective.,Stylized. Represents perceived benefit of subsidies. Could be informed by studies evaluating the effectiveness of specific subsidy programs on adoption rates.
ADOPTION_CARBON_TAX_SENSITIVITY,Adoption Carbon Tax Sensitivity,Firm Behavior - Tech Adoption,literature,1.5,1.5,0.5,3,logit unit per tax rate unit,float,Carbon-pricing / green-innovation literature,Carbon-price responsiveness; logit knob.,Sensitivity of green technology adoption utility to carbon tax rates. Higher value means carbon tax strongly motivates green tech adoption.,Stylized. Represents how much carbon pricing incentivizes green adoption. Could be informed by studies on the impact of carbon pricing on green innovation or investment.
BASE_CITIZEN_INCOME_MEAN,Base Citizen Non-Wage Income (Mean),Citizen Behavior - Income,structural,1000,1000,100,3000,currency units,float,Abstract model units,Non-wage income floor in model units.,"Mean for a small, exogenous non-wage income component for citizens (e.g., minor transfers, capital gains not modeled elsewhere). This is pre-tax.",Stylized. Provides a small income floor/supplement independent of wages. Could represent average non-labor income from national accounts.
BASE_CITIZEN_INCOME_STD_DEV_FACTOR,Base Citizen Non-Wage Income (Std Dev Factor),Citizen Behavior - Income,structural,0.1,0.1,0.05,0.3,factor,float,Heterogeneity parameter,Dispersion knob.,"Factor determining the standard deviation of the small, exogenous non-wage income component for citizens.","Stylized, for heterogeneity in non-wage income."
MIN_CITIZEN_INCOME,Minimum Citizen Net Income (Unemployed Floor),Citizen Behavior - Income,literature,1000,1000,800,12000,currency units,float,EU minimum-income / at-risk-of-poverty thresholds,Unemployed net-income floor; social-policy-informed.,Absolute floor for individual UNEMPLOYED citizen annual NET income after all calculations (e.g. unemployment benefits + non-wage income + carbon dividend + reskilling stipend - income tax). Employed net income is floored at 1.,Stylized social safety net for unemployed. Relate to minimum income policies or poverty lines. Applied to NET income.
MPC,Marginal Propensity to Consume,Citizen Behavior - Consumption,empirical,0.856,0.81,0.6,0.95,proportion (0-1),percentage_0_1,Eurostat Q4-2025: euro-area household saving rate 14.4% of gross disposable income,"MPC out of net income set to 1 - 0.144 = 0.856, matching the euro-area household saving rate. Prior 0.81 implied a 19% saving rate, above the current ~14.4%.",Proportion of citizen NET income spent on consumption (0-1). The remainder is saved. 1.0 implies all net income is available for spending.,Standard macroeconomic concept. Applied to NET income. Empirical estimates vary. Can be derived from consumption functions or savings rate data.
INITIAL_SKILL_MIN,Initial Skill Level (Min),Citizen Behavior - Skills,structural,0.1,0.1,0.05,0.2,level (0-1),percentage_0_1,Abstract 0-1 scale,Skill scale is abstract; relative values only.,Minimum bound for initial citizen skill levels (0-1 scale).,Stylized. Represents lowest starting skill in population. Scale is abstract; relative values matter.
INITIAL_SKILL_MAX,Initial Skill Level (Max),Citizen Behavior - Skills,structural,0.9,0.9,0.7,1,level (0-1),percentage_0_1,Abstract 0-1 scale,Skill scale abstract.,"Maximum bound for initial citizen skill levels (0-1 scale, influences initial distribution).",Stylized. Represents highest starting skill. Scale is abstract.
MAX_SKILL_LEVEL,Maximum Skill Level,Citizen Behavior - Skills,structural,1,1,0.9,1,level (0-1),percentage_0_1,Abstract 0-1 scale,Skill ceiling = 1 by construction.,Cap for citizen skill levels (0-1 scale).,Stylized assumption of a skill ceiling.
SKILL_BASED_INCOME_PREMIUM_FACTOR,Skill-Based Gross Income Premium Factor,Citizen Behavior - Income,structural,5000,5000,2000,10000,currency units per skill point,float,Abstract model units,Skill-wage gradient in model units.,"Additional annual GROSS income per unit of skill level for employed citizens, added to their wage before tax.",Stylized. Represents returns to skill. Mincer equation literature could inform the magnitude relative to average wages.
GREEN_JOB_PREMIUM_FACTOR,Green Job Gross Income Premium Factor,Citizen Behavior - Income,structural,3000,3000,0,8000,currency units,float,Abstract model units,Green-job wage premium in model units.,"Additional annual GROSS income for citizens in green jobs, added to their wage before tax.",Stylized. Represents potential wage premium for green skills/jobs. Empirical evidence on green job wages varies.
GREEN_TECH_ADOPTION_THRESHOLD_FOR_GREEN_JOBS,Green Tech Threshold for Green Jobs,Citizen Behavior - Employment,structural,0.25,0.25,0.15,0.4,share (0-1),percentage_0_1,Mechanism threshold assumption,Threshold of average firm green-tech share above which green jobs proliferate; structural mechanism parameter.,Average firm green tech share required before green jobs become more prevalent for citizens.,Stylized. Represents a tipping point for green job creation.
PROBABILITY_GET_GREEN_JOB_BASE,Probability to Get Green Job (Base),Citizen Behavior - Employment,structural,0.15,0.15,0.05,0.25,probability (0-1),percentage_0_1,Transition-mechanics assumption,Base green-job transition probability; stylized.,Base probability for an employed citizen to be in a green job (if threshold met).,Stylized. Base chance of transitioning to a green job.
PROBABILITY_GET_GREEN_JOB_SKILL_FACTOR,Probability to Get Green Job (Skill Factor),Citizen Behavior - Employment,structural,0.4,0.4,0.2,0.7,factor per skill point,float,Transition-mechanics assumption,Skill effect on green-job probability; stylized.,Factor by which skill level increases probability of a citizen getting a green job.,Stylized. Higher skills make green job transition more likely.
POLICY_SKILL_IMPROVEMENT_RATE,Policy Skill Improvement Rate,Citizen Behavior - Skills,literature,0.01,0.01,0.005,0.025,skill points per year,float,Training/ALMP evaluation literature,Skill gain from active labour-market/training policy; literature-informed.,"Rate at which citizen skills improve due to active 'green', 'digital', or 'hybrid' policies, scaled by admin effectiveness and citizen adaptCap.",Stylized. Represents impact of training/education policies. This is distinct from reskilling vouchers.
SKILL_DECAY_RATE,Skill Decay Rate,Citizen Behavior - Skills,literature,0.002,0.002,0.001,0.005,rate (0-1),percentage_0_1,Human-capital depreciation literature,Skill obsolescence; small annual rate.,Annual rate at which citizen skills decay if not improved.,Stylized. Represents skill obsolescence.
DIGITAL_ACCESS_POLICY_SENSITIVITY,Digital Access Policy Sensitivity,Citizen Behavior - Adoption,structural,0.15,0.15,0.05,0.25,factor,float,Behavioural-response assumption,Policy sensitivity knob.,"Base sensitivity of citizens to adopt digital access under relevant policies, influenced by subsidies and location factors.",Stylized. Base influence of policies promoting digital access.
GREEN_PREFERENCE_POLICY_SENSITIVITY,Green Preference Policy Sensitivity,Citizen Behavior - Adoption,structural,0.1,0.1,0.05,0.2,factor,float,Behavioural-response assumption,Policy sensitivity knob.,"Base sensitivity of citizens to adopt green preferences under relevant policies, influenced by subsidies and location factors.",Stylized. Base influence of policies promoting green preferences/awareness.
SOCIAL_LEARNING_RATE_DIGITAL,Social Learning Rate (Digital Access),Citizen Behavior - Adoption,literature,0.05,0.05,0.01,0.1,factor,float,Diffusion / peer-effects literature,Network-contagion strength; literature-informed.,Factor by which average firm digital tech adoption influences citizen digital access adoption (peer effects).,Stylized. Represents social contagion or network effects in adoption.
SOCIAL_LEARNING_RATE_GREEN_PREF,Social Learning Rate (Green Preference),Citizen Behavior - Adoption,literature,0.03,0.03,0.01,0.08,factor,float,Diffusion / peer-effects literature,Network-contagion strength; literature-informed.,Factor by which average firm green tech adoption influences citizen green preference adoption (peer effects).,Stylized. Represents social contagion for green preferences.
DEFAULT_CARBON_TAX_RATE,Default Carbon Tax Rate (€/tCO2),Policy Levers - Defaults,empirical,0,0,0,100,€ per tCO2,float,"EU ETS price ~EUR 70-75/tCO2 (2025-26, EEX)","Default is 0 (carbon tax is a policy lever, off by default). When activated, the plausible-high of 100 brackets the 2025-26 EU ETS price of ~EUR 72/tCO2.",Default carbon tax rate applied to firm emissions if not set by policy. `carbonTaxRate` from PolicyTweaker overrides this. Used for A1 lever.,Real-world carbon prices vary widely. Represents the carbon price per ton of CO2 (or abstract emission unit).
DEFAULT_GREEN_ADOPTION_SUBSIDY_RATE,Default Green Adoption Subsidy Rate,Policy Levers - Defaults,structural,0,0,0,0.3,rate (0-1),percentage_0_1,Policy default (off),Default 0; activated by policy lever.,Default subsidy for green tech adoption if not set by policy. Used by firms if not overridden by `policySignals`.,Subsidy rates for green tech vary. Used by firms if `greenAdoptionSubsidyRate` is not specified in `policySignals`.
DEFAULT_DIGITAL_ADOPTION_SUBSIDY_RATE,Default Digital Adoption Subsidy Rate,Policy Levers - Defaults,structural,0,0,0,0.3,rate (0-1),percentage_0_1,Policy default (off),Default 0; activated by policy lever.,Default subsidy for digital tech adoption if not set by policy. Used by firms if not overridden by `policySignals`.,Subsidies for digitalization can exist. Used by firms if `digitalAdoptionSubsidyRate` is not specified in `policySignals`.
PRICE_ELASTICITY_OF_DEMAND,Price Elasticity of Demand (epsilon),Economic Dynamics - Demand,literature,1.5,1.5,0.8,2.5,dimensionless,float,Demand-elasticity literature (broad consumer goods),"Own-price elasticity ~1.5 is a standard mid-range value for broad consumer aggregates; literature-informed, retained.",Sensitivity of demand to price changes. Higher absolute values mean more sensitivity. (Model uses positive value for calculation convenience).,Stylized. Typical range for many goods.
FIRM_MARKET_SHARE_PROXY_THETA,Firm Market Share Proxy (theta),Economic Dynamics - Demand,structural,1,1,0.5,1.5,factor,float,Demand-system normalisation,Non-price competitiveness; normalised to 1.,Base preference or non-price competitiveness factor for firms in demand calculation. Higher means larger market share for a given price.,"Stylized, currently uniform for all firms. Could be varied to represent brand loyalty, quality differences etc."
PRICE_ADJUSTMENT_SPEED,Price Adjustment Speed (alpha),Economic Dynamics - Pricing,literature,0.01,0.01,0.01,0.2,factor,float,Price-stickiness literature,Adjustment speed; reduced-form price rigidity.,Speed at which firms adjust prices based on demand-production imbalance.,Stylized. Represents price stickiness.
INITIAL_FIRM_PRICE,Initial Firm Price,Economic Dynamics - Pricing,structural,150,150,1,200,currency units,float,Abstract price index,Initial price index tuned for supply-demand balance.,Starting price for all firms at the beginning of the simulation.,Stylized price index. Adjust to balance initial supply value with initial aggregate demand.
LABOR_SUPPLY_FACTOR,Labor Supply Factor,Economic Dynamics - Labor Market,empirical,0.74,1,0.7,1,factor,float,"Eurostat LFS, EU activity rate 20-64 ~80%; participation 15-64 ~74% (2024-25)","Reinterpreted as a participation rate. EU labour-force participation (15-64) is ~74%, so 0.74 is defensible vs the prior 1.0 (which implied universal participation).","Multiplier for number of citizens to determine total labor supply (e.g., 1.0 means each citizen is one unit of labor, <1 can represent participation rates).",Stylized. Could be adjusted to match labor force participation rates.
NAIRU,Natural Rate of Unemployment (u_star),Economic Dynamics - Labor Market,empirical,0.063,0.05,0.03,0.07,rate (0-1),percentage_0_1,Eurostat: euro-area unemployment 6.1-6.4% (2025-26); EC structural-unemployment estimates ~6-6.5%,"Set to 6.3%, matching the euro-area unemployment rate and EC NAWRU estimates for 2025-26. Prior 0.05 was below the EA structural rate.","Non-Accelerating Inflation Rate of Unemployment, target for wage Phillips curve. Point around which wages stabilize.",Macroeconomic estimates vary by country and time period.
WAGE_SENSITIVITY_TO_UNEMPLOYMENT,Wage Sensitivity to Unemployment (beta_u),Economic Dynamics - Labor Market,literature,0.15,0.15,0.1,0.4,factor,float,Empirical Phillips-curve / wage-curve literature (slope ~0.1),Wage-curve slope; the international wage-curve elasticity is ~ -0.1. Baseline 0.15 retained within plausible band.,Parameter in Phillips curve determining wage response to unemployment gap (u_star - u_t). Higher value means wages react more strongly.,Empirical Phillips-curve fits vary.
INITIAL_WAGE,Initial Average Gross Wage,Economic Dynamics - Labor Market,empirical,39000,30000,18000,40000,currency units,float,"Eurostat: EU average annual full-time gross wage ~EUR 37,800-39,800 (2024)","Set to ~EUR 39,000 gross, matching the EU average annual gross wage (2024). Prior 30,000 understated the EU mean; note model operates in abstract units so this is a reference anchor.",Starting average annual GROSS wage in the economy (pre-tax).,Stylized. Adjust to match typical national average gross wage levels.
